THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202402,KERTAJAYA INDAH  REGENCY,1019,6434000,20,6314.033366045142,-7.289729,112.7871392
202402,KERTAJAYA INDAH REGENCY,5105,31848000,156,6238.589618021548,-7.289729,112.7871392
202402,KERTAJAYA INDAH TIMUR,31198,231584900,693,7423.068786460671,-7.2792852,112.7798359
202402,KLAMPIS SACHAROSA,2292,14374100,67,6271.422338568936,-7.2875191,112.7813849
202402,MANYAR KERTOADI,19059,129875600,592,6814.397397554961,-7.2847747,112.7834925
202402,MARINA EMAS,1720,10308200,87,5993.139534883721,-7.2889554,112.802558
202402,MARINA EMAS BARAT,6686,38301900,215,5728.671851630273,-7.2930141,112.8035565
202402,MARINA EMAS SELATAN,1165,6967400,43,5980.600858369099,-7.2893059,112.8029472
202402,MARINA EMAS TENGAH,81,416700,5,5144.444444444444,-7.2940982,112.8051135
202402,MARINA EMAS TIMUR,5511,29021400,195,5266.086009798584,-7.2940982,112.8051135
202402,MARINA EMAS UTARA,1399,6307200,54,4508.363116511794,-7.281512,112.802871
202402,MULYOREJO BARU TEGAL,7550,34603600,165,4583.258278145695,-7.2750916,112.7936262
202402,PERUM ITS,215,1005600,4,4677.209302325581,-7.281111,112.794611
202402,RAYA ITS,1056,9299000,2,8805.871212121212,-7.2757378,112.7927519
202402,RODAH,397,2218550,8,5588.287153652393,-7.279833,112.796322
202402,RODAH BUNTU,206,744600,3,3614.5631067961167,-7.279833,112.796322
202402,RODAH GEBANG,55,83000,1,1509.090909090909,-7.279833,112.796322
202402,RODAH GEBANG PUTIH,81,167400,4,2066.6666666666665,-7.279833,112.796322
202402,RODAH SEKOLAHAN,1348,4029700,42,2989.3916913946587,-7.279833,112.796322
202402,TEGAL MULYOREJO,1022,3991900,29,3905.968688845401,-7.2750916,112.7936262
202403,ARIF RACHMAN HAKIM,6164,76694800,5,12442.375081116159,-7.288531,112.798155
202403,ASEM PAYUNG,9418,24604200,286,2612.465491611807,-7.2862181,112.7857511
202403,BUMI MARINA EMAS,1100,6406000,33,5823.636363636364,-7.2911441,112.8020775
202403,BUMI MARINA EMAS BARAT,602,4085000,18,6785.714285714285,-7.2930141,112.8035565
202403,BUMI MARINA EMAS TIMUR,170,1006400,7,5920.0,-7.2911441,112.8020775
202403,DESA ASEM PAYUNG,225,1407000,1,6253.333333333333,-7.24917,112.75083
202403,GALAXY BUMI PERMAI,57,317000,2,5561.403508771929,-7.2974136,112.7859957
202403,GEBANG,372,4576000,1,12301.075268817205,-7.2886889,112.7846587
202403,GEBANG KIDUL,5325,19349800,148,3633.7652582159626,-7.2826702,112.7873836
202403,GEBANG KIDUL MAWAR,12,53000,1,4416.666666666667,-7.279833,112.796322
202403,GEBANG KIDUL SEPUHAN,435,1521100,18,3496.7816091954023,-7.279833,112.796322
202403,GEBANG LOR,6559,23138750,175,3527.786247903644,-7.2810659,112.7878501
202403,GEBANG LOR KANOMAN,719,1715100,25,2385.3963838664813,-7.279833,112.796322
202403,GEBANG PUTIH,3629,17602700,58,4850.564893910168,-7.2819247,112.787992
202403,GEBANG PUTIH RODAH,884,2998150,24,3391.572398190045,-7.279833,112.796322
202403,GEBANG RODAH MAWAR,123,538200,3,4375.609756097561,-7.279833,112.796322
202403,GEBANG RODAH SEKOLAHAN,16,75000,1,4687.5,-7.279833,112.796322
202403,GEBANG WETAN,3758,13455250,137,3580.4284193720064,-7.2811196,112.7896864
202403,GEBANG WETAN RODAH SEKOLAHAN,47,222500,2,4734.04255319149,-7.279833,112.796322
202403,ITS.HIDRODINAMIKA/KEJ.PT,13,35900,1,2761.5384615384614,-7.281111,112.794611
202403,ITS.ILMU PASTI ALAM,640,2655900,15,4149.84375,-7.281111,112.794611
202403,ITS.KEPUTIH,972,9191700,13,9456.481481481482,-7.2826954,112.7956782
202403,ITS.TEHNIK ARSITEKTUR,1430,7636300,30,5340.06993006993,-7.281111,112.794611
202403,ITS.TEHNIK FISIKA,551,2477200,16,4495.825771324864,-7.281111,112.794611
202403,ITS.TEHNIK GEODESI,351,1448500,12,4126.780626780626,-7.281111,112.794611
202403,ITS.TEHNIK HIDRODINAMIKA,3107,12764550,105,4108.3199227550695,-7.281111,112.794611
202403,ITS.TEHNIK HIDRONIKA,35,196000,1,5600.0,-7.281111,112.794611
202403,ITS.TEHNIK HUMANIORA,412,1617000,16,3924.757281553398,-7.281111,112.794611
202403,ITS.TEHNIK INDUSTRI,502,2139700,13,4262.350597609562,-7.281111,112.794611
202403,ITS.TEHNIK KELAUTAN,345,1298100,14,3762.608695652174,-7.281111,112.794611
202403,ITS.TEHNIK KOMPUTER,6316,25458700,204,4030.826472450918,-7.281111,112.794611
202403,ITS.TEHNIK LINGKUNGAN,616,2744600,17,4455.519480519481,-7.281111,112.794611
202403,ITS.TEHNIK PEMUKIMAN,318,1555500,13,4891.509433962264,-7.281111,112.794611
202403,ITS.TEHNIK PENYEHATAN,464,2135200,14,4601.724137931034,-7.281111,112.794611
202403,ITS.TEHNIK PRANCANGAN,313,1227300,6,3921.086261980831,-7.281111,112.794611
202403,ITS.TEHNIK SIPIL,2859,13110200,82,4585.589366911508,-7.281111,112.794611
